timetable_id,route_id,direction_id,start_date,end_date,monday,tuesday,wednesday,thursday,friday,saturday,sunday,route_label,service_notes,direction_label,orientation
43,1739,0,20171128,20211231,1,1,1,1,1,0,0,Jones Ferry Road Express,CHT EXPRESS (Monday-Friday),Eastbound,horizontal
44,1739,1,20171128,20211231,1,1,1,1,1,0,0,Jones Ferry Road Express,CHT EXPRESS (Monday-Friday),Westbound,horizontal
45,1723,0,20140101,20221231,1,1,1,1,1,0,0,MLK Jr Blvd - Northside,Year-round calendar (Monday-Friday),Outbound,horizontal
46,1723,1,20140101,20221231,1,1,1,1,1,0,0,MLK Jr Blvd - Northside,Year-round calendar (Monday-Friday),Inbound,horizontal
47,1723,0,20180108,20180305,1,1,1,1,1,0,0,MLK Jr Blvd - Northside,Academic Calendar (Monday-Friday),Outbound,horizontal
48,1750,0,20140101,20221231,1,1,1,1,1,0,0,MLK Jr Boulevard-UNC Hospitals,Year-round calendar (Monday-Friday),Northbound,horizontal
49,1750,1,20140101,20221231,1,1,1,1,1,0,0,MLK Jr Boulevard-UNC Hospitals,Year-round calendar (Monday-Friday),Southbound,horizontal
50,1751,0,20140101,20221231,0,0,0,0,0,1,0,MLK Jr Boulevard-UNC Hospitals,Year-round calendar (Saturday only),Northbound,horizontal
51,1751,1,20140101,20221231,0,0,0,0,0,1,0,MLK Jr Boulevard-UNC Hospitals,Year-round calendar (Saturday only),Southbound,horizontal
52,1736,0,20140101,20221231,1,1,1,1,1,0,0,Morris Grove Elementary-Chapel Hill High-Rogers Rd,Year-round calendar (Monday-Friday),Northbound,horizontal
53,1736,1,20140101,20221231,1,1,1,1,1,0,0,Morris Grove Elementary-Chapel Hill High-Rogers Rd,Year-round calendar (Monday-Friday),Southbound,horizontal
54,1736,0,20180108,20180305,1,1,1,1,1,0,0,Morris Grove Elementary-Chapel Hill High-Rogers Rd,Academic Calendar (Monday-Friday),Northbound,horizontal
55,1736,1,20180108,20180305,1,1,1,1,1,0,0,Morris Grove Elementary-Chapel Hill High-Rogers Rd,Academic Calendar (Monday-Friday),Southbound,horizontal
56,1743,0,20180107,20180114,0,0,0,0,0,1,1,RR Lot-UNC Hospitals,U & NU (Weekend),Northbound,horizontal
57,1743,1,20180107,20180114,0,0,0,0,0,1,1,RR Lot-UNC Hospitals,U & NU (Weekend),Southbound,horizontal
58,1743,0,20180108,20180305,1,1,1,1,1,0,0,RR Lot-UNC Hospitals,Academic Calendar (Monday-Friday),Northbound,horizontal
59,1743,1,20180108,20180305,1,1,1,1,1,0,0,RR Lot-UNC Hospitals,Academic Calendar (Monday-Friday),Southbound,horizontal
60,1743,0,20180116,20180305,0,0,0,0,0,1,1,RR Lot-UNC Hospitals,U & NU (Weekend),Northbound,horizontal
61,1743,1,20180116,20180305,0,0,0,0,0,1,1,RR Lot-UNC Hospitals,U & NU (Weekend),Southbound,horizontal
62,1746,0,20140101,20221231,1,1,1,1,1,0,0,South Campus-NC 54 Park-&-Ride,Year-round calendar (Monday-Friday),Eastbound,horizontal
63,1746,1,20140101,20221231,1,1,1,1,1,0,0,South Campus-NC 54 Park-&-Ride,Year-round calendar (Monday-Friday),Westbound,horizontal
64,6830,0,20140101,20221231,0,0,0,0,0,1,0,Southern Village - Meadowmont,Year-round calendar (Saturday only),Eastbound,horizontal
65,6830,1,20140101,20221231,0,0,0,0,0,1,0,Southern Village - Meadowmont,Year-round calendar (Saturday only),Westbound,horizontal
66,1753,0,20140101,20221231,1,1,1,1,1,0,0,Southern Village-Meadowmont,Year-round calendar (Monday-Friday),Eastbound,horizontal
67,1753,1,20140101,20221231,1,1,1,1,1,0,0,Southern Village-Meadowmont,Year-round calendar (Monday-Friday),Westbound,horizontal
68,1752,0,20140101,20221231,1,1,1,1,1,0,0,UNC Campus Shuttle-Downtown,Year-round calendar (Monday-Friday),Loop,horizontal
69,1752,0,20180107,20180114,0,0,0,0,0,1,1,UNC Campus Shuttle-Downtown,U & NU (Weekend),Loop,horizontal
70,1752,0,20180116,20180305,0,0,0,0,0,1,1,UNC Campus Shuttle-Downtown,U & NU (Weekend),Loop,horizontal
71,1737,0,20140101,20221231,1,1,1,1,1,0,0,UNC Hospitals-Botanical Garden-54 Park-&-Ride-Hedrick Building,Year-round calendar (Monday-Friday),Eastbound,horizontal
72,1737,1,20140101,20221231,1,1,1,1,1,0,0,UNC Hospitals-Botanical Garden-54 Park-&-Ride-Hedrick Building,Year-round calendar (Monday-Friday),Westbound,horizontal
